20140901,361476672,342687488
20140902,375716576,313368352
20140903,327853760,304974624
20140904,284945568,279088736
20140905,213688368,258823072
20140906,177195744,211345152
20140907,220126800,179082080
20140908,266639856,363484224
20140909,308219872,315969760
20140910,292459520,321736128
20140911,259752608,318418624
20140912,230225328,300019808
20140913,177752000,246209232
20140914,242605248,216540464
20140915,339870752,375921792
20140916,389783968,326447552
20140917,353409120,304232512
20140918,304514336,290325024
20140919,251383184,289620576
20140920,225344528,220445296
20140921,273740640,163946112
20140922,334810432,354764352
20140923,364465536,340715616
20140924,329465728,327800992
20140925,314414016,304870080
20140926,261725840,283245632
20140927,219765648,245515680
20140928,238041344,218701328
20140929,328531616,385266528
20140930,367100544,335810752
